,train_loss,val-auc
0,0.688628613948822,0.6609195402298851
1,0.6904563903808594,0.7209051724137931
2,0.6869602203369141,0.7395833333333333
3,0.6860219240188599,0.7449712643678161
4,0.7065150141716003,0.7510775862068966
5,0.6893105506896973,0.7525143678160919
6,0.6753268241882324,0.7611350574712643
7,0.6940863132476807,0.766882183908046
8,0.6223269701004028,0.7744252873563218
9,0.647956132888794,0.7816091954022988
10,0.6549663543701172,0.7873563218390804
11,0.5984569787979126,0.7927442528735631
12,0.5276817679405212,0.7970545977011494
13,0.5730712413787842,0.8013649425287357
14,0.48875993490219116,0.8020833333333333
15,0.5197156667709351,0.8002873563218391
16,0.5097023248672485,0.8063936781609196
17,0.5246948003768921,0.8071120689655172
18,0.42770856618881226,0.8107040229885057
19,0.8035709261894226,0.8121408045977012
20,0.44069451093673706,0.8157327586206896
21,0.435968279838562,0.8168103448275862
22,0.5144997835159302,0.8160919540229885
23,0.46203112602233887,0.8178879310344828
24,0.4009816348552704,0.8232758620689655
25,0.42266517877578735,0.8211206896551724
26,0.38890165090560913,0.8186063218390804
27,0.3884070813655853,0.8214798850574713
28,0.32612109184265137,0.8229166666666667
29,0.49956318736076355,0.8247126436781609
30,0.3691181540489197,0.8225574712643677
31,0.3770100474357605,0.8232758620689655
32,0.32659000158309937,0.8254310344827587
33,0.4854660928249359,0.8247126436781609
34,0.34692391753196716,0.8247126436781609
35,0.3430090546607971,0.8257902298850575
36,0.4012204110622406,0.8265086206896552
37,0.31752580404281616,0.8261494252873562
38,0.3395242393016815,0.826867816091954
39,0.32358813285827637,0.8232758620689655
40,0.37177157402038574,0.8257902298850575
41,0.4868132770061493,0.8239942528735632
42,0.32450151443481445,0.8247126436781609
43,0.32594794034957886,0.8250718390804598
44,0.3167801797389984,0.8254310344827587
45,0.614757776260376,0.8261494252873562
46,0.3425212800502777,0.8261494252873562
47,0.5176968574523926,0.8239942528735633
48,0.3211241662502289,0.8229166666666667
